,name,payment_modes,locality
834,WOW! China,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
835,Cafe Paratha Plus,"
Digital payments accepted","Bavdhan, Pune"
836,Savya Rasa,Cash and Cards accepted,"Koregaon Park, Pune"
837,Indian Kadhai,,"Kharadi, Pune"
838,The Biryani Life,,"Karve Nagar, Pune"
839,P Town Bar,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
840,Wellfood Home Taste,,"Wagholi, Pune"
841,Cad (M) Cad (B),"
Digital payments accepted","FC Road, Pune"
842,Lucky's Irani Cafe,"
Digital payments accepted","Baner, Pune"
843,Shanghai Chinese Corner,"
Digital payments accepted","Chinchwad, Pune"
844,Biryani Kababs & Curries,,"Dhole Patil Road, Pune"
845,Yalla Momos,"Cash and Cards accepted
Digital payments accepted","Pashan, Pune"
846,Classic Punjab,,"Hadapsar, Pune"
847,Chocolate Biclate,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
848,Shanghai Chef Chinese,,"Baner, Pune"
849,Al Madeena,,"Expressway, Pune"
850,Hotel Aapulki,"
Digital payments accepted","Dhankawadi, Pune"
851,Hotel Jagdamb,"
Digital payments accepted","Ravet, Pune"
852,Ali Baba Restaurant,,"Kondhwa, Pune"
853,Herbal Connections By GaramTawa Bistro,,"Balewadi, Pune"
854,Eagle Boys Pizzeria & Cafe,,"Wakad, Pune"
855,What' A Sandwich!,,"Bibvewadi, Pune"
856,M Factory,"
Digital payments accepted","Pimple Nilakh, Pune"
857,China Express,,"Dange Chowk, Pune"
858,Bird Valley,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Saudagar, Pune"
859,Fries,,"Dhankawadi, Pune"
860,Ganraj Special Misal House,"
Digital payments accepted","Sus, Pune"
861,Kiosk Kaffee,,"Aundh, Pune"
862,Fuoco - The Woodfired Kitchen,"
Digital payments accepted","Wakad, Pune"
863,The Secret Rasoi,,"Baner, Pune"
864,Signature,Cash and Cards accepted,"Kondhwa, Pune"
865,Nashta,,"Pimpri, Pune"
866,Mahadev Dining Hall,"
Digital payments accepted","Hinjawadi, Pune"
867,Hyderabadi Biryani Empire,,"Kharadi, Pune"
868,Aman Chinese Center,"
Digital payments accepted","Wadgaon Sheri, Pune"
869,Supreme Sandwich Corner,"
Digital payments accepted","Budhwar Peth, Pune"
870,Kanchan Pure Veg,,"Kharadi, Pune"
871,Ganesh Bhel,,"Karve Nagar, Pune"
872,Shree Swami Samartha Chinese Momos And Rolls,,"Bibvewadi, Pune"
873,Hotel Visava,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
874,Hotel New Sanket,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
875,Martand Misal,"
Digital payments accepted","Akurdi, Pune"
876,McDonald's,Cash and Cards accepted,"Balewadi High Street, Baner, Pune"
877,Hotel Sargam,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
878,Hotel Koliwada Family Restaurant,,"Karve Nagar, Pune"
879,Divine Biryani House,,"Pimple Nilakh, Pune"
880,Cafe Crazy Lovers,"
Digital payments accepted","Akurdi, Pune"
881,Arabian Mexico Restaurant,,"Camp Area, Pune"
882,Mothers Meal Box,,"Chinchwad, Pune"
883,Shri Mhatoba Snacks Center,,"Hinjawadi, Pune"
884,Pizza Corner,,"Camp Area, Pune"
885,Hudson Chopsticks ,,"Baner, Pune"
886,Arabian Grills,"
Digital payments accepted","Kondhwa, Pune"
887,Cream Stone,Cash and Cards accepted,"Westend Mall, Aundh, Pune"
888,Ten 11 Bar & Kitchen,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
889,Food Of Indore,,"Bavdhan, Pune"
890,Don Pancho,,"Wadgaon Sheri, Pune"
891,IceKraft,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
892,The Tasty Tiffin,,"Baner, Pune"
893,Paratha Experiment,,"Kothrud, Pune"
894,The Paratha Singh,,"Kharadi, Pune"
895,Bhadait Misal,"
Digital payments accepted","Erandwane, Pune"
896,Ashapuri Bhojnalya,"
Digital payments accepted","Wakad, Pune"
897,NIC - Natural Ice Creams,,"Aundh, Pune"
898,Sukhi De Parathe,,"Balewadi, Pune"
899,Pride Kitchen's Hyderabadi Biryani,"Cash and Debit Cards accepted
Digital payments accepted","Hadapsar, Pune"
900,Hotel Alibaba Family Restaurant,,"Hadapsar, Pune"
901,Squisito Cafe Italiano,,"Bibvewadi, Pune"
902,Faasos,,"Baner, Pune"
903,Omee's Burger,,"Hinjawadi, Pune"
904,Om Sai Expresso,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
905,Chef De Burger,,"Viman Nagar, Pune"
906,Hotel Krushnai,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
907,RK Dum Biryani House,"
Digital payments accepted","Chandan Nagar, Pune"
908,Domino's Pizza,"Cash, Cards and Meal Coupons accepted","Kothrud, Pune"
909,Thunder Wings,,"Viman Nagar, Pune"
910,Veeray Da Paratha,,"Wadgaon Sheri, Pune"
911,Turque - Sayaji Hotel,Cash and Cards accepted,"Sayaji Hotels, Wakad, Pune"
912,Hyderabadi Laziz,"
Digital payments accepted","Karve Nagar, Pune"
913,Dakkhan Spice,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
914,Chinesh Bowl,,"Hadapsar, Pune"
915,MP's Biryani House,,"Pimple Nilakh, Pune"
916,Chilling Adda,"Cash and Cards accepted
Digital payments accepted","Shukrawar Peth, Pune"
917,The Greedy Panda,,"Baner, Pune"
918,KBC - Kabab Biryani Chinese,"
Digital payments accepted","Sinhgad Road, Pune"
919,Shambhavi Pure Veg,,"Kothrud, Pune"
920,Asian Eatery,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
921,Lassi Ghar,,"Pimpri, Pune"
922,Rohit Wadewale,,"Baner, Pune"
923,Zaika,,"Lohegaon, Pune"
924,Burger 09,,"Wadgaon Sheri, Pune"
925,Annapurna Tiffin,"
Digital payments accepted","Mundhwa, Pune"
926,Darshini,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
927,The Chinese Pot,,"Wakad, Pune"
928,Hite Bar,Cash and Cards accepted,"Kondhwa, Pune"
929,Tasty Singh's Kitchen,,"Pimple Nilakh, Pune"
930,Sagy's Chaapwala,"
Digital payments accepted","Kothrud, Pune"
931,Delhi Belly,,"Baner, Pune"
932,Soups Sezwans & Noodles,,"Hadapsar, Pune"
933,The Mad Momos,,"Dhanori, Pune"
934,Shakezone,,"Ravet, Pune"
935,Reddys Veg Non-Veg Restaurant,Cash and Cards accepted,"Magarpatta, Pune"
936,Faasos,,"Salunkhe Vihar Road, Pune"
937,Creamy Cafeteria,,"Kothrud, Pune"
938,Tulsi Malai Kulfi Icecream,,"Balewadi, Pune"
939,Ovenstory Pizza,,"Kondhwa, Pune"
940,The Cake & Cream Factory,,"Wakad, Pune"
941,Al Safa,,"Lohegaon, Pune"
942,Yonies- Good Vibes & Pizzas,,"Baner, Pune"
943,Chocolate Biclate,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
944,Kesar,,"Wakad, Pune"
945,Roadside Pickups,,"Wakad, Pune"
946,Aadesh Juice And Snacks Center,,"Hadapsar, Pune"
947,Cafe Chow Meow,"
Digital payments accepted","Kothrud, Pune"
948,"Wraps, Rolls & Bowls",,"Kharadi, Pune"
949,Mandarin Oak- The Heavenly Chinese,,"Ravet, Pune"
950,Jyoti,Cash and Cards accepted,"Wanowrie, Pune"
951,Om Sai On the way,,"Bavdhan, Pune"
952,Madina Caterers And Biryani House,,"Magarpatta, Pune"
953,Bigbellytheorycooks,,"Kothrud, Pune"
954,Chowpati Natural Kulfi,,"Rasta Peth, Pune"
955,Manjeet's Kitchen,"
Digital payments accepted","Lohegaon, Pune"
956,Kooker.In,,"Dhanori, Pune"
957,Om Sai Dosa,,"Nigdi, Pune"
958,Spare Time Bhatia Da Dhaba,"
Digital payments accepted","Hinjawadi, Pune"
959,Aasmana: The Ritz-Carlton,Cash and Cards accepted,"Ritz Carlton, Yerwada, Pune"
960,Indiana Burgers,,"Kharadi, Pune"
961,Oye Hoye Paajee!,,"Baner, Pune"
962,McCafe by McDonald's,,"Aundh, Pune"
963,Faasos,,"Pimple Gurav, Pune"
964,The Village Corner,"
Digital payments accepted","Bibvewadi, Pune"
965,The Brooklyn Creamery - Healthy Ice Cream,,"Mundhwa, Pune"
966,Venky's Xprs,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
967,Kisa Veg Corner,"
Digital payments accepted","Hadapsar, Pune"
968,Big Loaf Sandwich,,"Pimple Saudagar, Pune"
969,Biggies Burger,"
Digital payments accepted","NIBM Road, Pune"
970,Rohit Wadewale,,"Pimpri, Pune"
971,Pizza Lover,,"Hadapsar, Pune"
972,Sagar Kalakhatta & Tawa,,"Kharadi, Pune"
973,Venkys Xperience,"
Digital payments accepted","Lohegaon, Pune"
974,Oasis,Cash and Cards accepted,"Bavdhan, Pune"
975,Ktree Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Katraj, Pune"
976,Best Belgian Waffle,"
Digital payments accepted","Hadapsar, Pune"
977,Shreeji Pure Veg,Cash and Cards accepted,"Bibvewadi, Pune"
978,Rubaab Multicuisine Family Restaurant And Bar,"Cash and Cards accepted
Digital payments accepted","Pune-Solapur Road, Pune"
979,Coffee Nation,"
Digital payments accepted","Shivaji Nagar, Pune"
980,Dragon Wok,,"Bhosari, Pune"
981,Cake Bomb,,"Hadapsar, Pune"
982,Merwans Cake Stop ,"
Digital payments accepted","East Street, Pune"
983,Aryas Sudama Bhel,,"Phursungi, Pune"
984,Tibetan Special Momos,"
Digital payments accepted","Salunkhe Vihar Road, Pune"
985,Jijai Coffee House,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
986,Ajantha,"
Digital payments accepted","Sadashiv Peth, Pune"
987,Faasos,,"Destination Centre, Magarpatta, Pune"
988,Firangi Vadapav,,"Hadapsar, Pune"
989,Pan Biryani,,"Satara Road, Pune"
990,The Great Dilli Darbar,,"Karve Nagar, Pune"
991,Burger It Up,,"Kharadi, Pune"
992,Little South Sea World,,"Bavdhan, Pune"
993,Filmy Flavours,"
Digital payments accepted","Balewadi, Pune"
994,Oye Paratha,,"Viman Nagar, Pune"
995,Oye Kakke By Spice Factory,,"Wakad, Pune"
996,Mr.Fries,"
Digital payments accepted","Nigdi, Pune"
997,Miya Murg,,"Wakad, Pune"
998,Falahaar,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
999,Buff Special,,"Kondhwa, Pune"
1000,Taste Corner ,,"Viman Nagar, Pune"
1001,Subway,"Cash and Cards accepted
Digital payments accepted","East Street, Pune"
1002,McDonald's,"Cash, Cards and Meal Coupons accepted","Amanora Town Centre, Hadapsar, Pune"
1003,Janta Snacks Center,,"Pimpri, Pune"
1004,RushHrs,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
1005,Nisarg Misal And Snacks House,,"Hadapsar, Pune"
1006,Hotel Maratheshahi,,"Hadapsar, Pune"
1007,Cafe Coffee Day,Cash and Cards accepted,"Bavdhan, Pune"
1008,Chowpaty Natural Kulfi,,"Pimple Saudagar, Pune"
1009,Miami Waffles And Jawbreakers,,"Wakad, Pune"
1010,World Of Sweets,,"Wakad, Pune"
1011,SLAY Coffee,,"Bavdhan, Pune"
1012,Badshahi Boarding House,,"Tilak Road, Pune"
1013,Chinese Darbar - Pure Veg,,"Bibvewadi, Pune"
1014,Open Window Cakes ,,"Senapati Bapat Road, Pune"
1015,Tapadia College Katta,"
Digital payments accepted","Erandwane, Pune"
1016,Golden Dragon Chinese,,"Karve Nagar, Pune"
1017,KGN Xprs,"
Digital payments accepted","Katraj, Pune"
1018,Cafe Durga,"
Digital payments accepted","Viman Nagar, Pune"
1019,Chow Express,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1020,Ashwini's kitchen,,"Baner, Pune"
1021,Sambar And Chutney Cafe,"
Digital payments accepted","Dhanori, Pune"
1022,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Hadapsar, Pune"
1023,Rajdhani South Indian,,"Akurdi, Pune"
1024,Cafe Peter,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
1025,Navaratana Veg,"Cash, Cards and Meal Coupons accepted","Parvati, Pune"
1026,Upwas Uphargruha,,"Nigdi, Pune"
1027,The Chaap House,"
Digital payments accepted","Wakad, Pune"
1028,Amma Idli Dosa,,"Kharadi, Pune"
1029,Peshwa Of Patiyala,,"Bavdhan, Pune"
1030,MOJO Pizza - 2X Toppings,,"Wanowrie, Pune"
1031,Chinese Culture,,"Pimple Gurav, Pune"
1032,Momoya!,,"Wakad, Pune"
1033,Homely Pure Veg meal,,"Akurdi, Pune"
1034,Al Zaika,,"Karve Nagar, Pune"
1035,Uncle Kitchen,"
Digital payments accepted","Magarpatta, Pune"
1036,Burger King,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1037,V & R Tandoor Corner,"Cash and Debit Cards accepted
Digital payments accepted","Katraj, Pune"
1038,Nevale Misal,"
Digital payments accepted","Chinchwad, Pune"
1039,Monginis,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Aundh, Pune"
1040,Chinese Chef Co,,"Baner, Pune"
1041,Savantvadi Seafood Special,,"Kothrud, Pune"
1042,Tornado Potato,"
Digital payments accepted","Pimple Saudagar, Pune"
1043,Kolkata Rolls,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
1044,Zakkas Misal,"
Digital payments accepted","Satara Road, Pune"
1045,How's the Bowl,,"Kothrud, Pune"
1046,Royal Lotus Pure Veg Restaurant,Cash and Cards accepted,"Wakad, Pune"
1047,Pizza.com,,"Dhankawadi, Pune"
1048,Kannu Ki Chai,,"Kondhwa, Pune"
1049,Vishnu Caterers,,"Akurdi, Pune"
1050,House Of Shawarma,,"Parvati, Pune"
1051,Breakfast Xpress,,"Hadapsar, Pune"
1052,WOW! Momo,Cash and Cards accepted,"Salunkhe Vihar Road, Pune"
1053,Om Gurudev Chinese Center,"
Digital payments accepted","Hadapsar, Pune"
1054,Mathura Veg,"
Digital payments accepted","Pimpri, Pune"
1055,Raj Darbar,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
1056,Shiv Misal,"
Digital payments accepted","Wakad, Pune"
1057,The Shawarma,,"Aundh, Pune"
1058,Desi Hut,,"Pashan, Pune"
1059,Wow Chinese,,"Hadapsar, Pune"
1060,Natural Ice Cream,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1061,The Japanese Bowl Box,,"Undri, Pune"
1062,Pune Adda,"Cash and Cards accepted
Digital payments accepted","Bibvewadi, Pune"
1063,Madéline,"Cash and Cards accepted
Digital payments accepted","Shivaji Nagar, Pune"
1064,The Momos Junction ,,"Dhanori, Pune"
1065,Sai Dosa House,,"Ravet, Pune"
1066,Hotel Tuljai,"
Digital payments accepted","Akurdi, Pune"
1067,Cherry on Top,,"Dange Chowk, Pune"
1068,Khichdi Experiment,,"Kothrud, Pune"
1069,UFO Fries & Corn,"
Digital payments accepted","Wakad, Pune"
1070,KGN Xprs,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
1071,SOUK by Cafe Arabia,Cash and Cards accepted,"Wanowrie, Pune"
1072,The Belgian Waffle Co.,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1073,SLAY Coffee,,"Kondhwa, Pune"
1074,Cafe Coffee Day,Cash and Cards accepted,"Bibvewadi, Pune"
1075,Lucknow Spice,"
Digital payments accepted","Baner, Pune"
1076,Copa Cabana,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
1077,The Mango Mirchi,,"Pimple Nilakh, Pune"
1078,Hotel Bhigwan Special Machi Khanawal,,"Bibvewadi, Pune"
1079,Kolhapuri Fried Chicken,"
Digital payments accepted","Viman Nagar, Pune"
1080,Zesty Tasty,,"Bavdhan, Pune"
1081,GLOBO Ice Creams Of The World,,"Wanowrie, Pune"
1082,The Village,Cash and Cards accepted,"Pimpri, Pune"
1083,Crazy Momos,Cash and Cards accepted,"Karve Nagar, Pune"
1084,Monginis,,"Sinhgad Road, Pune"
1085,Sampan Food House,,"Camp Area, Pune"
1086,Biryani House,"
Digital payments accepted","Kharadi, Pune"
1087,Mealful Rolls - Meals In A Roll,,"Dhayari, Pune"
1088,Winners Pizza(Fresh Dough),,"Balewadi, Pune"
1089,Jumbo Belly Kitchen,,"Pimpri, Pune"
1090,Chicken Xperience By Venky's,,"Kharadi, Pune"
1091,B's Kitchen,,"Wakad, Pune"
1092,Shaukeen Paan,,"Kharadi, Pune"
1093,Kraks N Bruns,"
Digital payments accepted","Dhankawadi, Pune"
1094,Domino's Pizza,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Baner, Pune"
1095,Hotel Nilkamal,"
Digital payments accepted","Narhe, Pune"
1096,Tokyo Bakery,"
Digital payments accepted","Baner, Pune"
1097,Desi Handi,"
Digital payments accepted","Pimple Gurav, Pune"
1098,Punjabi Amritsari Kulcha,"
Digital payments accepted","Wakad, Pune"
1099,Waah! Indore,,"Hadapsar, Pune"
1100,Food Adda,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
1101,La Bali,"Cash and Cards accepted
Digital payments accepted","Aditya Shagun Mall, Bavdhan, Pune"
1102,Taj Sweets,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
1103,Bagicha Corner,Cash and Cards accepted,"MG Road, Pune"
1104,Theobroma,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
1105,Belgian Waffles & Chocolates,,"Wadgaon Sheri, Pune"
1106,Haka,,"Dhole Patil Road, Pune"
1107,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Hadapsar, Pune"
1108,Cafe Me Time,,"Sinhgad Road, Pune"
1109,Hungry Man,,"Aundh, Pune"
1110,Momo Monk,,"Wadgaon Sheri, Pune"
1111,The Custom Bakers,,"Kharadi, Pune"
1112,Kwality Walls Frozen & Dessert Ice Cream Shop,,"Nigdi, Pune"
1113,Kalyan Bhel - Katraj,,"Katraj, Pune"
1114,Aiyyo Rama,"
Digital payments accepted","Hadapsar, Pune"
1115,Cake Point Party Spot  By RJ Bakers,"
Digital payments accepted","Sinhgad Road, Pune"
1116,The Sugar Free Keto Kafe,,"Rasta Peth, Pune"
1117,Desi Parathas By Dhanashree,,"Wagholi, Pune"
1118,Chinese HotSpot,,"Kharadi, Pune"
1119,Chinese Bowl Company,,"Pimple Saudagar, Pune"
1120,Keventers Ice Creams,,"Salunkhe Vihar Road, Pune"
1121,Elite Pav Bhaji,,"Hadapsar, Pune"
1122,MBA In Khichdi,,"Balewadi, Pune"
1123,Rayalaseema Reddy's Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
1124,Hotel Raje,"
Digital payments accepted","Akurdi, Pune"
1125,Breakfast 24,,"Kharadi, Pune"
1126,The Brooklyn Creamery - Healthy Ice Cream,,"Shivane, Pune"
1127,Chachokha Cafe,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
1128,Express By ABs,,"Chinchwad, Pune"
1129,Golden Chinese Restaurant,,"Kondhwa, Pune"
1130,Uduppi Lunch Home,"Cash and Cards accepted
Digital payments accepted","Khadki, Pune"
1131,Aasra Food Court,"
Digital payments accepted","Lohegaon, Pune"
1132,Siddu Maharashtrian Thali,"
Digital payments accepted","Rasta Peth, Pune"
1133,The Bowl Factory,,"Wakad, Pune"
1134,Nawabi Khwahish,,"Chinchwad, Pune"
1135,UFO Fries & Corn,Cash and Cards accepted,"Aundh, Pune"
1136,Mad Over Donuts,Cash and Cards accepted,"Law College Road, Pune"
1137,Virinda Pav Bhaji,"
Digital payments accepted","Hinjawadi, Pune"
1138,Just Bowls,,"Wadgaon Sheri, Pune"
1139,Hotel Suruchi,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
1140,Taco Bell,,"Aundh, Pune"
1141,Raibhan,"Cash and Cards accepted
Digital payments accepted","Rasta Peth, Pune"
1142,Milkstir,,"Lohegaon, Pune"
1143,New Shegaon Kachori Center,,"Baner, Pune"
1144,Spring Onion,Cash and Cards accepted,"Baner, Pune"
1145,Chinese Center,,"Hadapsar, Pune"
1146,Barbeque Nation,"Cash and Cards accepted
Digital payments accepted","Dhole Patil Road, Pune"
1147,Suras Snacks,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
1148,Jalaram Dabeli & Vadapav,,"Dhanori, Pune"
1149,Hotel Al Zaika,,"Kondhwa, Pune"
1150,Mezbaan Family Restaurant,,"Hadapsar, Pune"
1151,The Homemade Co,,"Camp Area, Pune"
1152,Gayatri's Kitchen,,"Warje, Pune"
1153,Time And Again  The Real Biryani,,"Wadgaon Sheri, Pune"
1154,LeanCrust Pizza - ThinCrust Experts,,"Hinjawadi, Pune"
1155,Phadke Dining Hall,,"Sadashiv Peth, Pune"
1156,Myfroyoland,"Cash and Cards accepted
Digital payments accepted","Balewadi High Street, Baner, Pune"
1157,Snackzyy,"
Digital payments accepted","Chinchwad, Pune"
1158,Kayamkulam Cafe,"
Digital payments accepted","Pune-Solapur Road, Pune"
1159,Baramati Thali,,"Camp Area, Pune"
1160,Cafe Durga,"
Digital payments accepted","Koregaon Park, Pune"
1161,Hotel Om Raghav-Kokan Katta,,"Pimpri, Pune"
1162,Mharaj Pav Bhaji & Biryani,,"Kothrud, Pune"
1163,Cafe Tasty Bites,"
Digital payments accepted","Nigdi, Pune"
1164,Pizza To Cheese,,"Sinhgad Road, Pune"
1165,Fast Food Katta,,"Kothrud, Pune"
1166,The Burger House,,"Chinchwad, Pune"
1167,Kaware Mastani,,"Hinjawadi, Pune"
1168,P.K. Dum Biryani House,Cash and Cards accepted,"Sinhgad Road, Pune"
1169,China Town,,"Viman Nagar, Pune"
1170,Round The Clock Cravings,,"Baner, Pune"
1171,Benelli Caffe,"
Digital payments accepted","Baner, Pune"
1172,P K Biryani House,"
Digital payments accepted","Baner, Pune"
1173,Food China - Momos And Noodles,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
1174,Cinnamon Restaurant,Cash and Cards accepted,"Shantai Hotel, Rasta Peth, Pune"
1175,Faasos,,"Erandwane, Pune"
1176,In Between,,"Wakad, Pune"
1177,Thorat Barbeque Misal & Pav Bhaji Chinchwad,,"Chinchwad, Pune"
1178,Cakes & Tales,,"Pimpri, Pune"
1179,Wooden Chopsticks Chinese,,"Karve Nagar, Pune"
1180,Hunger Break,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1181,Cafe Rowdy Chaska,"
Digital payments accepted","Pimpri, Pune"
1182,The Bowl Shack,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
1183,JB Roll's And Chinese Corner,,"Sinhgad Road, Pune"
1184,Story of Eggs,,"Narhe, Pune"
1185,We Idliwale,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1186,Cream Stone,Cash and Cards accepted,"Baner, Pune"
1187,Yana Sizzlers,"Cash and Cards accepted
Digital payments accepted","Camp Area, Pune"
1188,Shades Of Biryani,"
Digital payments accepted","Kharadi, Pune"
1189,Pandurang Bhel and Chat,,"Lohegaon, Pune"
1190,Spice It - Hotel Ibis,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
1191,Hotel Kalakaar Misal House,"
Digital payments accepted","Aundh, Pune"
1192,Hyderabadi Biryani's,,"Aundh, Pune"
1193,Naadbramha Idli,,"Dhankawadi, Pune"
1194,Baker's Zone,"
Digital payments accepted","Pimpri, Pune"
1195,Punjab Da Dhaba,,"Kothrud, Pune"
1196,Mahesh Lunch Home,Cash and Cards accepted,"Camp Area, Pune"
1197,Laxmi Narayan,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1198,Hotel Grand Punjab,Cash and Cards accepted,"Magarpatta, Pune"
1199,Café Raahi,"
Digital payments accepted","Karve Nagar, Pune"
1200,Burger Craft,,"Viman Nagar, Pune"
1201,AFC,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
1202,Kabablo,,"Pimple Nilakh, Pune"
1203,Kota Kachori & Namkeens,"
Digital payments accepted","Wakad, Pune"
1204,Mankar Dosa,,"Kondhwa, Pune"
1205,Sairam Foods,,"Budhwar Peth, Pune"
1206,KNS,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
1207,Copa Villa,Cash and Cards accepted,"Pimple Nilakh, Pune"
1208,Khichdi Junction,,"Wadgaon Sheri, Pune"
1209,Pratik Chinese Center,"
Digital payments accepted","Dhanori, Pune"
1210,Rolls Mania,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
1211,J.B Cafe,,"Kondhwa, Pune"
1212,Halka Phulka,"
Digital payments accepted","Khadki, Pune"
1213,Agatya Family Restaurant & Bar,Cash and Cards accepted,"Lohegaon, Pune"
1214,Garva Biryani,"
Digital payments accepted","Sinhgad Road, Pune"
1215,Chai Naashta Junction,"
Digital payments accepted","Aundh, Pune"
1216,Lucknow Spice,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1217,New Pizza Hut,,"Kothrud, Pune"
1218,Melte,"
Digital payments accepted","Balewadi, Pune"
1219,The Flavour Boutique,,"Wakad, Pune"
1220,Ni Hao China,,"Ravet, Pune"
1221,Deep Blue Sea,,"Budhwar Peth, Pune"
1222,Paratha Corner,"
Digital payments accepted","Wakad, Pune"
1223,RK'S Family Restro & Bar,Cash and Cards accepted,"Narhe, Pune"
1224,FK Caterers,,"Hadapsar, Pune"
1225,The Momo Panda,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1226,Hotel Atithi,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
1227,PK Biryani House,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
1228,Eskobar,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
1229,Anaya Family Resto,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Saudagar, Pune"
1230,Faasos,,"Viman Nagar, Pune"
1231,Pius Kitchen,,"Wadgaon Sheri, Pune"
1232,Tiffin Box,,"Magarpatta, Pune"
1233,Hotel Al Quresh,"
Digital payments accepted","Khadki, Pune"
1234,Ruro's Cake N Cafe,,"Hadapsar, Pune"
1235,Biryani House,"Cash and Cards accepted
Digital payments accepted","Pune University, Pune"
1236,Spicy Dragon,,"Hadapsar, Pune"
1237,China Town Pure Veg Chinese Corner,"
Digital payments accepted","Hadapsar, Pune"
1238,Hotel Morya,"
Digital payments accepted","Swargate, Pune"
1239,Claypot - Kebab and Biryani,Cash and Cards accepted,"Pashan, Pune"
1240,3 Idiots - The Friendly Bar,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
1241,Pop Tate's,"Cash and Cards accepted
Digital payments accepted","Phoenix Market City, Viman Nagar, Pune"
1242,Murlidhar Pure Veg,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
1243,Egg Era,,"Balewadi, Pune"
1244,Mommys Kitchen,,"Yerawada, Pune"
1245,Cheesiano Pizza,,"Erandwane, Pune"
1246,Akshay Hotel,Cash and Cards accepted,"Magarpatta, Pune"
1247,World Of Cheese Pizza,,"Dange Chowk, Pune"
1248,Sheetal Refreshment,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
1249,Taco Bell,"
Digital payments accepted","Hinjawadi, Pune"
1250,Green Villa Restro,"
Digital payments accepted","Bhugaon, Pune"
1251,Kitchen Night Riders,,"Kharadi, Pune"
1252,Happiness The Cake World,,"Wakad, Pune"
1253,Parijat Mithai,,"Viman Nagar, Pune"
1254,I Amsterdam,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
