,name,payment_modes,locality
890,Taste Of Chinese,,"Baner, Pune"
891,Saathee - Kitchen & Bar,"Cash and Cards accepted
Digital payments accepted","Khadki, Pune"
892,Salad Grills,,"Baner, Pune"
893,Qabila,Cash and Cards accepted,"Shivaji Nagar, Pune"
894,WS Bakers,,"Sadashiv Peth, Pune"
895,3D Burger,"Cash and Cards accepted
Digital payments accepted","Dhanori, Pune"
896,Radhe Pure Veg and Snacks,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
897,Bunkers Kitchen,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
898,Behrouz Biryani,,"Wakad, Pune"
899,Khao Momo,,"Wakad, Pune"
900,Hotel Pune,,"Camp Area, Pune"
901,Cafe Momos,"
Digital payments accepted","Katraj, Pune"
902,Rajdhani Sandwich,,"Nigdi, Pune"
903,Shawarma Spot,"Cash and Cards accepted
Digital payments accepted","Satara Road, Pune"
904,Buy 1 Get 1 Free Chinese,,"Hadapsar, Pune"
905,Badmash Biryani,,"Balewadi, Pune"
906,Mealful Rolls - Meals In A Roll,,"Super Mall, Pune"
907,World Of Cheese Pizza,,"Dange Chowk, Pune"
908,Sampoornanand Pure Veg,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
909,Cream Corner,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
910,Flavours of Hyderabad,Cash and Cards accepted,"Baner, Pune"
911,The Hungry Panda,"
Digital payments accepted","Baner, Pune"
912,Al Noor Caterers,,"Kondhwa, Pune"
913,Cheese Wala Pizza,,"Balewadi, Pune"
914,Tandoor Point,,"Kondhwa, Pune"
915,Urban Parathas & More,,"Wakad, Pune"
916,The Street Momos,,"Erandwane, Pune"
917,NH 37 Dhaba,Cash and Cards accepted,"Pune University, Pune"
918,Sunshine Family Restaurant,"Cash, Cards and Meal Coupons accepted","Vishrantwadi, Pune"
919,Cafe Dot Com,"
Digital payments accepted","Pimple Saudagar, Pune"
920,Shejwan Chinese Corner,,"Pimple Saudagar, Pune"
921,Shivsagar Ice Cream,,"Mundhwa, Pune"
922,Maharaja Biryani,,"Katraj, Pune"
923,Le Flamington,Cash and Cards accepted,"Wanowrie, Pune"
924,Famous Lunch Home,,"Dhanori, Pune"
925,Burreatoss,,"Koregaon Park, Pune"
926,Biryani Badshah,,"Kothrud, Pune"
927,Aasra Food Court,"
Digital payments accepted","Lohegaon, Pune"
928,Dragon Mart,,"Kalyani Nagar, Pune"
929,Biryani Magic,,"Hadapsar, Pune"
930,Malgudi Tiffin,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
931,Sai Sagar,,"Bhosari, Pune"
932,Hari Om Juice Bar,,"Camp Area, Pune"
933,Jash Kitchen,,"Wanowrie, Pune"
934,Ganesh Sweets,,"Wakad, Pune"
935,Behrouz Biryani,,"Hinjawadi, Pune"
936,Fish Curry Rice,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
937,Malaj,"
Digital payments accepted","Sinhgad Road, Pune"
938,Zaika Express,,"Kothrud, Pune"
939,Karna Hyderabadi House,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
940,The Brooklyn Creamery - Healthy Ice Cream,,"Bavdhan, Pune"
941,Momo Nation Cafe,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
942,Chaitanya Fast Food,,"Ravet, Pune"
943,New Ruchira,"
Digital payments accepted","Parvati, Pune"
944,Micky Momos,"
Digital payments accepted","Wakad, Pune"
945,Lazeez Tandoor & Biryani,,"Hadapsar, Pune"
946,Nothing But Chicken,,"Koregaon Park, Pune"
947,Woodlands Restaurant and Bar,Cash and Cards accepted,"Erandwane, Pune"
948,Hruturaj Pure Veg,,"Wakad, Pune"
949,Kheema King,"
Digital payments accepted","Ravet, Pune"
950,Cheesy Shevpav,,"Dange Chowk, Pune"
951,Swades Veg-Non Veg,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
952,Jay Ganesh Veg Non Veg,"
Digital payments accepted","Katraj, Pune"
953,Venky's Xprs,Cash and Cards accepted,"Aundh, Pune"
954,Lama Momos,,"Hadapsar, Pune"
955,Punjabi Non Veg,,"Wakad, Pune"
956,Italian Hut,,"Senapati Bapat Road, Pune"
957,Food Signal,,"Sinhgad Road, Pune"
958,Creamers,,"Ravet, Pune"
959,Hungry Burgers,,"Chinchwad, Pune"
960,Café Buddy's Espresso,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
961,Maharaja Darbar,,"Hadapsar, Pune"
962,Haldiram's,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
963,Slice N Spice,,"Chinchwad, Pune"
964,Angaar,Cash and Cards accepted,"Baner, Pune"
965,Nawabi The RJ Biryani,,"Bund Garden Road, Pune"
966,Mughal Sarai,"Cash and Debit Cards accepted
Digital payments accepted","Kalyani Nagar, Pune"
967,Chitale Bandhu Mithaiwale ,,"Vishrantwadi, Pune"
968,Cafe Peter,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
969,Cafe Sky,,"Shivaji Nagar, Pune"
970,3 Idiots - The Friendly Bar,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
971,Pind Punjab,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kharadi, Pune"
972,The Green Kitchen ,,"Hadapsar, Pune"
973,Sentosa Highway,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
974,Nawab Asia,Cash and Cards accepted,"Camp Area, Pune"
975,Ambe Snacks Center,"
Digital payments accepted","Viman Nagar, Pune"
976,Hotel Jagdamb,"
Digital payments accepted","Shivaji Nagar, Pune"
977,Vedant Pure Veg,"Cash and Cards accepted
Digital payments accepted","Satara Road, Pune"
978,Burgertron,,"Balewadi, Pune"
979,Coffee Saaz,"
Digital payments accepted","Tilak Road, Pune"
980,A1 Zaika,,"Lohegaon, Pune"
981,New Burger Bits,"
Digital payments accepted","Kondhwa, Pune"
982,Al Mustafa Dum Biryani,"
Digital payments accepted","Bund Garden Road, Pune"
983,ShindeShahi Amruttulya & Snacks Centre,,"Nigdi, Pune"
984,Fish O Fish,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
985,Nandu's Paratha,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
986,Bebe Di Rasoi - Punjabi,,"Hinjawadi, Pune"
987,Dodo's Pizza & Burger,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
988,Home Made Thali's,,"Akurdi, Pune"
989,Amritsari,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
990,Belgian Waffle House,,"Lohegaon, Pune"
991,Eatsome,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Destination Centre, Magarpatta, Pune"
992,Hotel Marathi Bana,"Cash and Cards accepted
Digital payments accepted","Bibvewadi, Pune"
993,SLAY Coffee,,"Kharadi, Pune"
994,Sahi Darbar,,"Wakad, Pune"
995,Roll House Point,"
Digital payments accepted","Pimpri, Pune"
996,K Anna Maggi Point,"
Digital payments accepted","Koregaon Park, Pune"
997,Master Chef,,"Sinhgad Road, Pune"
998,Chickoo Vada Pav & Snacks,,"Kharadi, Pune"
999,Miami Shakes & More,,"Wakad, Pune"
1000,Cafe Street Hits,"
Digital payments accepted","Lohegaon, Pune"
1001,Hungry Bite Chinese,,"Narhe, Pune"
1002,Food Magic Cafe,,"Wadgaon Sheri, Pune"
1003,Hotel Tuljai,"
Digital payments accepted","Akurdi, Pune"
1004,Chav Assal Khandeshi,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
1005,New Ramdev Dhaba,"
Digital payments accepted","Kharadi, Pune"
1006,Guru Di Rassoi,,"Kharadi, Pune"
1007,Monginis,,"Hadapsar, Pune"
1008,AR Chinese Corner,,"Nigdi, Pune"
1009,KVC Pavbhaji &  Pulao,,"Hadapsar, Pune"
1010,The Urban Kadhai,,"Wadgaon Sheri, Pune"
1011,PGI Restaurant,Cash and Cards accepted,"Rasta Peth, Pune"
1012,Bistro Restaurants,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
1013,Kod's Cafe,,"B.T. Kawade Road, Pune"
1014,Pizzaria.com,,"Wanowrie, Pune"
1015,LKD | La Kheer Deli,,"Hinjawadi, Pune"
1016,Delfree Kathi Rolls & Chaat Corner,"
Digital payments accepted","Wadgaon Sheri, Pune"
1017,Cook And Grill,"
Digital payments accepted","Shaniwar Peth, Pune"
1018,Fried Stories,,"Nigdi, Pune"
1019,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Pashan, Pune"
1020,Mithla Paratha & Thali House,"
Digital payments accepted","Baner, Pune"
1021,Cake Bake,,"Wagholi, Pune"
1022,Smoke House Deli,,"Phoenix Market City, Viman Nagar, Pune"
1023,Shawarma Treat,,"Lohegaon, Pune"
1024,Khatri Bandhu Pot Ice Cream,Cash and Cards accepted,"Sinhgad Road, Pune"
1025,Bangalore Iyyangar Bakery,,"Pimple Saudagar, Pune"
1026,Hyderabadi King Dum Box Biryani,,"Wakad, Pune"
1027,Ashoka Restaurant,"
Digital payments accepted","Bhosari, Pune"
1028,Momo Monk,,"Wagholi, Pune"
1029,Madinah Restaurant,"
Digital payments accepted","Camp Area, Pune"
1030,Neelraj Misal House,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
1031,Jogeshwari Misal,"
Digital payments accepted","Hinjawadi, Pune"
1032,Shawarma Darbar,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
1033,Radhika Veg Restaurant,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
1034,Jai Mata Di,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
1035,Nawaab-E-Biryani,,"Pimpri, Pune"
1036,Hotel Kautik,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
1037,Bombay Juice Bar and Chinese Spot,,"Bibvewadi, Pune"
1038,De Kettle Cafe,,"Camp Area, Pune"
1039,House Of Burgers,,"Kharadi, Pune"
1040,Siddu Maharashtrian Thali,"
Digital payments accepted","Rasta Peth, Pune"
1041,Henry's Fried Chicken,,"NIBM Road, Pune"
1042,Gourmet Chinese,Cash and Cards accepted,"The Street Park, Baner, Pune"
1043,Food For Mood,,"Katraj, Pune"
1044,Manjeet's Kitchen,"
Digital payments accepted","Lohegaon, Pune"
1045,Swiss Bakes,,"Bibvewadi, Pune"
1046,Aroma's Hyderabad House,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
1047,Biryani Paradise,,"Dhanori, Pune"
1048,Nishus Kitchen,,"Vishrantwadi, Pune"
1049,Hotel Super Shriraj,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
1050,Chakkna. Com,,"Magarpatta, Pune"
1051,MG Chinese Corner,"
Digital payments accepted","Magarpatta, Pune"
1052,Firangi Bake,,"Karve Nagar, Pune"
1053,Bangalore Iyangars Bakery,,"Akurdi, Pune"
1054,Mocha,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
1055,Sanskruti,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Sadashiv Peth, Pune"
1056,Tandoor Nation,"
Digital payments accepted","Balewadi, Pune"
1057,Hotel Al Zaika,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Narhe, Pune"
1058,Baskin Robbins,,"Hinjawadi, Pune"
1059,Chinese Center,,"Hadapsar, Pune"
1060,La Cafe Tera,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1061,The Burgs,,"Ravet, Pune"
1062,Signature Fine Dining,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1063,Belly Tales,,"Kharadi, Pune"
1064,Hunger Break,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1065,La Cheezy,,"Chandan Nagar, Pune"
1066,Malwan Samudra,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
1067,Bamboo House,"Cash and Cards accepted
Digital payments accepted","Shivaji Nagar, Pune"
1068,Momos Adda,,"Wakad, Pune"
1069,Shaandaar Family Resto Bar,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
1070,Hotel Lazeez,"
Digital payments accepted","Yerawada, Pune"
1071,Geeta Bhojanalya,"
Digital payments accepted","Hinjawadi, Pune"
1072,Sumadhu Pure Veg,Cash and Cards accepted,"Sinhgad Road, Pune"
1073,Wagheshwar Pizza Corner,,"Wadgaon Sheri, Pune"
1074,Envision Patisserie,,"Baner, Pune"
1075,Hotel Garava,,"Lohegaon, Pune"
1076,A Piece Of Cake,Cash and Cards accepted,"Wanowrie, Pune"
1077,China Gate,,"Wagholi, Pune"
1078,Cafe Tom And Jerry,,"Kothrud, Pune"
1079,Nisarg,"
Digital payments accepted","Hadapsar, Pune"
1080,Hatke Biryani,,"Wakad, Pune"
1081,Garva Biryani,,"Shukrawar Peth, Pune"
1082,Paratha Envy,,"Hadapsar, Pune"
1083,Chocolate Delight,,"Pimple Gurav, Pune"
1084,Calicut Biryani,,"Kalyani Nagar, Pune"
1085,Zahra Cakes,,"Wadgaon Sheri, Pune"
1086,WS Bakers,,"Pashan, Pune"
1087,Yo Kakke,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1088,Tea Villa Cafe,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
1089,Indian Meals,"
Digital payments accepted","Hadapsar, Pune"
1090,Sandwich Katta,"
Digital payments accepted","Parvati, Pune"
1091,Keventers Ice Creams,,"Salunkhe Vihar Road, Pune"
1092,"Swaad Lucknowi Chaat, Paratha And More...","
Digital payments accepted","Kondhwa, Pune"
1093,Hotel Grand Punjab,Cash and Cards accepted,"Magarpatta, Pune"
1094,Wadi Express,,"Vishrantwadi, Pune"
1095,Mr. Smoothie,,"Sinhgad Road, Pune"
1096,Jashn,"Cash and Cards accepted
Digital payments accepted","Salunkhe Vihar Road, Pune"
1097,Daal Pakwan,,"Balewadi, Pune"
1098,#TFT,"
Digital payments accepted","Dhankawadi, Pune"
1099,Cheesiano Pizza,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kothrud, Pune"
1100,Lil Bite Of Heaven,,"Viman Nagar, Pune"
1101,Monk's & Blue's,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
1102,Stanz Cafe,,"Viman Nagar, Pune"
1103,Crown Bakery,,"Pimpri, Pune"
1104,Nisarg,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
1105,Latur Corner,"
Digital payments accepted","Sinhgad Road, Pune"
1106,Mitran Da Junction,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1107,Om Sai Expresso,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
1108,Radhesai Thalipeeth House,"
Digital payments accepted","Akurdi, Pune"
1109,Yumme Tumme,,"Salunkhe Vihar Road, Pune"
1110,Tentación Cake Shop,,"Katraj, Pune"
1111,The Asian Box,Cash and Cards accepted,"Koregaon Park, Pune"
1112,Anu's Handi Kitchen,,"Mundhwa, Pune"
1113,Slurpy Shakes,,"Hadapsar, Pune"
1114,Al Zaika,"
Digital payments accepted","Chinchwad, Pune"
1115,Hotel Namaskar,"
Digital payments accepted","Baner, Pune"
1116,Naan Factory,"
Digital payments accepted","Balewadi, Pune"
1117,Raju Sandwich,,"Wadgaon Sheri, Pune"
1118,Gharonda Veg Restaurant,Cash and Cards accepted,"Pimpri, Pune"
1119,Desi Mom’s Craving’s House,,"Pimple Saudagar, Pune"
1120,Frozen Shakes,,"Kondhwa, Pune"
1121,Eagle Boys Pizzeria & Cafe,,"Wakad, Pune"
1122,Bhavya Garden,"Cash and Cards accepted
Digital payments accepted","Model Colony, Pune"
1123,Saffron Vegetarian,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
1124,Hotel Nandini,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
1125,Dhanlaxmi Snacks And Soda Shop,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
1126,Big Bites Burgers,,"Viman Nagar, Pune"
1127,Chandani Chowk Wale Paronthe,,"Wakad, Pune"
1128,Paratha Singh,,"Viman Nagar, Pune"
1129,Ground Up Cafe And Fast Food,"
Digital payments accepted","Wanowrie, Pune"
1130,Tasty Momos,,"Viman Nagar, Pune"
1131,Baba Ramdev Dhaba,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
1132,Itminaan Biryani - Dum Pukht,,"Aundh, Pune"
1133,Pizza Bar ,,"Hadapsar, Pune"
1134,Subway,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
1135,Punjabi TREAT,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
1136,Proper Pakoda,"
Digital payments accepted","Fatima Nagar, Pune"
1137,Chaayos Chai+Snacks=Relax,,"Baner, Pune"
1138,Big Maroon Window,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
1139,The Burger Cafe,,"Magarpatta, Pune"
1140,SPD Tandoor And Kebabs,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
1141,PS Bakers,"
Digital payments accepted","Karve Nagar, Pune"
1142,Swagath Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
1143,Labbaik Biryani House,,"Sinhgad Road, Pune"
1144,Shree Krishna Dabeli & Burger,"
Digital payments accepted","Pimple Saudagar, Pune"
1145,Yahoo!!! Momos,"
Digital payments accepted","Kothrud, Pune"
1146,Marrakesh,"Cash, Cards and Meal Coupons accepted","Shivane, Pune"
1147,Mothers Meal Box,,"Chinchwad, Pune"
1148,Satvik Pure Veg,,"Kothrud, Pune"
1149,Chandani Garden Restaurant & Bar,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
1150,Reve Iscream,,"Kalyani Nagar, Pune"
1151,Saideep Chinese,,"Dange Chowk, Pune"
1152,I Amsterdam,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
1153,Hotel Rajyog Garden,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
1154,Madina Cafe,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
1155,Pushkaraj Garden,Cash and Cards accepted,"Katraj, Pune"
1156,Urban Social Kitchen,,"Shivaji Nagar, Pune"
1157,Reddy's Variety Biryani,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
1158,Peshawar Biryani's The Taste From Spices,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
1159,Malhar Assal Kolhapuri,"
Digital payments accepted","Sadashiv Peth, Pune"
1160,Cafe Durga,"
Digital payments accepted","FC Road, Pune"
1161,StirPot - DIY Meal Kits,,"Pimple Nilakh, Pune"
1162,The Verandah,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
1163,The Cue Cafe,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1164,Mr. Chang's Chinese,,"Kharadi, Pune"
1165,Sukhi De Parathe,,"Chinchwad, Pune"
1166,Bhayankar Burgers,,"Dhankawadi, Pune"
1167,The Biryani Life,,"Viman Nagar, Pune"
1168,Husseny Bakery,,"Camp Area, Pune"
1169,Mad Over Donuts,Cash and Cards accepted,"Seasons Mall, Magarpatta , Pune"
1170,Hotel Khandesh Food.com,"
Digital payments accepted","Akurdi, Pune"
1171,Faasos,,"Camp Area, Pune"
1172,Krushnai Snacks,"
Digital payments accepted","Hadapsar, Pune"
1173,Revelry The Cake House,,"Kondhwa, Pune"
1174,Hoy Maharaja,"
Digital payments accepted","Hadapsar, Pune"
1175,China Street,,"Wanowrie, Pune"
1176,Kwality Family Resto Bar,Cash and Cards accepted,"Chandan Nagar, Pune"
1177,Domino's Pizza,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kharadi, Pune"
1178,SWS Veg Pizzaria,"
Digital payments accepted","Bibvewadi, Pune"
1179,Biryani Bowl,,"Pimpri, Pune"
1180,Debasree's Kitchen,,"Wagholi, Pune"
1181,R.A.Y's Exotic Kitchen,,"Chinchwad, Pune"
1182,Skoop Ice Cream Parlour,"
Digital payments accepted","Pune University, Pune"
1183,Cafe Durga,"
Digital payments accepted","Wakad, Pune"
1184,V. P. Biryani,,"Kothrud, Pune"
1185,Sai Foods,,"Kharadi, Pune"
1186,Zakir Biryani House & Caterers,,"Wakad, Pune"
1187,Diameter Pizza,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
1188,Paratha By Inch,,"Wakad, Pune"
1189,SMS German Bakery,,"Pimpri, Pune"
1190,Skot's Burger,,"Pimple Saudagar, Pune"
1191,Hotel Anna Madrase,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
1192,Pizza @ 149,,"Undri, Pune"
1193,Jashn E Punjab,,"Baner, Pune"
1194,Two Mad Cookks,Cash and Cards accepted,"NIBM Road, Pune"
1195,Hotel Al Zaika,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Bhosari, Pune"
1196,Hotel Maratha Darbar,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
1197,Sams Chinese,,"Aundh, Pune"
1198,Sevensisters Momo,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1199,BOX8 - Desi Meals,,"Baner, Pune"
1200,The Rollin' Dough,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
1201,Sam's Executive Meals,,"Westend Mall, Aundh, Pune"
1202,Deelasa Chinese Fast Food,"
Digital payments accepted","Sinhgad Road, Pune"
1203,Sugaran Homely Food,"
Digital payments accepted","Chinchwad, Pune"
1204,Royal Tandoor House,,"Sinhgad Road, Pune"
1205,Raj Ice Cream,,"Wakad, Pune"
1206,Kimling XPS,"
Digital payments accepted","Kharadi, Pune"
1207,The Foodie Hub,,"Sinhgad Road, Pune"
1208,Mekong Folks,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1209,WS Bakers,"Cash and Cards accepted
Digital payments accepted","Magarpatta, Pune"
1210,Grub Jars,,"Salunkhe Vihar Road, Pune"
1211,Navratri Meals By LunchBox,,"Kharadi, Pune"
1212,The Brooklyn Creamery - Healthy Ice Cream,,"Parvati, Pune"
1213,Rolls Royal & Biryani,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
1214,Desi Flavours,"
Digital payments accepted","Aundh, Pune"
1215,Hotel Maharaja,"
Digital payments accepted","Hadapsar, Pune"
1216,The Parathe Wala,,"Wagholi, Pune"
1217,Rajmandir Ice Cream,"
Digital payments accepted","Wakad, Pune"
1218,Om Sai Snacks Centre,"
Digital payments accepted","Bavdhan, Pune"
1219,Slizzling Tandoor,,"Nigdi, Pune"
1220,Alhamduillah,Cash and Cards accepted,"Camp Area, Pune"
1221,Lazzetti,"
Digital payments accepted","Lohegaon, Pune"
1222,Softy Junction,"
Digital payments accepted","Pimpri, Pune"
1223,Gayatri Bhel,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1224,SRS Multi Cuisine Restaurant,,"Katraj, Pune"
1225,Bebo Di Rasoi,,"Undri, Pune"
1226,Hotel Ravi,"
Digital payments accepted","Camp Area, Pune"
1227,Hightime,,"Wakad, Pune"
1228,TN59 Taste Of Madurai,"
Digital payments accepted","Kharadi, Pune"
1229,SK Hotel,"Cash and Cards accepted
Digital payments accepted","Chandan Nagar, Pune"
1230,Ice Creamery - Milkshakes & Icecreams,,"Kharadi, Pune"
1231,Foodiegram,,"Magarpatta, Pune"
1232,R S Kitchen,"Cash and Cards accepted
Digital payments accepted","Katraj, Pune"
1233,Irish Biryani,,"Hadapsar, Pune"
1234,NH1 Bowls - Highway To North,,"Magarpatta, Pune"
1235,The Healthy Chinese,,"Hinjawadi, Pune"
1236,Delight Cafe,"
Digital payments accepted","Pimple Saudagar, Pune"
1237,Indian Tadka Taste Punjab Da,"Cash and Cards accepted
Digital payments accepted","Lohegaon, Pune"
1238,Azu,Cash and Cards accepted,"Bhosari, Pune"
1239,Kwality Family Resto Bar,Cash and Cards accepted,"Wanowrie, Pune"
1240,Milk 'N' Mart,,"Wadgaon Sheri, Pune"
1241,Liv's Kerala Kitchen,,"Pimple Gurav, Pune"
1242,Indore Poha And Diet Poha,,"Pashan, Pune"
1243,Flavour Of India,,"Hadapsar, Pune"
1244,Kraks N Bruns,"
Digital payments accepted","Dhankawadi, Pune"
1245,Amruth Vilas,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
1246,Mayur Veg Thali,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
1247,Domino's Pizza,"Cash, Cards and Meal Coupons accepted","Bund Garden Road, Pune"
1248,Dum Biryani,,"Westend Mall, Aundh, Pune"
1249,Akshay Hotel,"Cash and Cards accepted
Digital payments accepted","Senapati Bapat Road, Pune"
1250,Cafe Coffee Day,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Wakad, Pune"
1251,Dumplings Cafe,,"Pimple Saudagar, Pune"
1252,NIC - Natural Ice Creams,Cash and Cards accepted,"Wakad, Pune"
1253,Hungry Jack's,"
Digital payments accepted","Pimpri, Pune"
1254,World Of Wings,,"Baner, Pune"
1255,Indchi,,"Pimpri, Pune"
1256,Craving Station,,"Wakad, Pune"
1257,HK Biryani Haveli,"
Digital payments accepted","Wagholi, Pune"
1258,Vadilal Ice Cream,,"Viman Nagar, Pune"
1259,Domino's Pizza,"Cash, Cards and Meal Coupons accepted","Rainbow Plaza, Pimple Saudagar, Pune"
1260,Hyderabadi Biryani,"Cash and Cards accepted
Digital payments accepted","Law College Road, Pune"
1261,Kekiz The Cake shop,,"Pimple Saudagar, Pune"
1262,The Paratha Singh,,"Kharadi, Pune"
1263,Cheez-Sos,"
Digital payments accepted","Katraj, Pune"
1264,Chaitanya Paranthas,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
1265,The Royal Kitchen,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
1266,Brasserie Cinq,Cash and Cards accepted,"Koregaon Park, Pune"
1267,Irani Cup,"
Digital payments accepted","Viman Nagar, Pune"
1268,Chitale Bandhu Mithaiwale,,"Sadashiv Peth, Pune"
1269,LeanCrust Pizza - ThinCrust Experts,,"Hinjawadi, Pune"
1270,Burger Mines,"
Digital payments accepted","Kothrud, Pune"
1271,Chinese Point,,"Hadapsar, Pune"
1272,Veg Momo Point,,"Viman Nagar, Pune"
1273,Tirumala Bhavan,"
Digital payments accepted","Hadapsar, Pune"
1274,Urbo,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
1275,Kwality Walls Frozen & Dessert Ice Cream Shop,,"Nigdi, Pune"
1276,Classic China Bowl,,"Pimple Gurav, Pune"
1277,Nothing But Chicken,,"Viman Nagar, Pune"
1278,Sudama Bhel,"
Digital payments accepted","Ravet, Pune"
1279,Happy Box Co,,"Viman Nagar, Pune"
1280,Hotel Indrayani Special Malvani,,"Lohegaon, Pune"
1281,PVR Café,,"The Pavillion, Senapati Bapat Road, Pune"
1282,Chinesh Meal,,"Hadapsar, Pune"
1283,Natraj Bhel  ,,"Kharadi, Pune"
1284,Pakoda N Faluda Cafe,,"Rasta Peth, Pune"
1285,Baskin Robbins,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
1286,Royal Maratha,,"Lohegaon, Pune"
1287,Utkarsh Vadewale,,"Kharadi, Pune"
1288,LunchBox - Meals and Thalis,,"Ravet, Pune"
1289,Sliced by The Urban Foundry,,"Balewadi, Pune"
1290,Sandwich Delight,,"Wakad, Pune"
1291,Drinks Bar,,"Karve Nagar, Pune"
1292,NH1 Bowls - Highway To North,,"Aundh, Pune"
1293,The Chinese Bistro,,"Wakad, Pune"
1294,Baskin Robbins,,"Undri, Pune"
1295,Jaipur Garden,"Cash and Cards accepted
Digital payments accepted","Bibvewadi, Pune"
1296,Falahaar,"
Digital payments accepted","Kharadi, Pune"
